t,P_LA(Pa),P_LV(Pa),P_AO(Pa),s_mitral,s_aortic,Q_mitral(m3/s),Q_aortic(m3/s),mode
0.05400000000000004,123.53294830244997,4276.2900925867825,10387.631214074156,1.7170198227664616e-06,1.1202997670126071e-21,0.0,0.0,full
0.05500000000000004,125.1446602146198,4367.848308524798,10382.646075933604,1.6740943275752485e-06,2.2936151163545808e-21,0.0,0.0,full
0.05600000000000004,126.75250780883573,4460.516803941874,10377.663494274151,1.6322419695767667e-06,4.736183356214439e-21,0.0,0.0,full
0.057000000000000044,128.3565052155898,4554.27536020073,10372.68346778478,1.5914359204329816e-06,9.86252431454569e-21,0.0,0.0,full
0.058000000000000045,129.95666651598052,4649.103732329087,10367.705995155147,1.5516500224696824e-06,2.0707581244873858e-20,0.0,0.0,full
0.059000000000000045,131.55300574179356,4744.981653315197,10362.73107507558,1.512858771931372e-06,4.38311237246192e-20,0.0,0.0,full
0.060000000000000046,133.14553687558362,4841.888838459923,10357.75870623708,1.4750373026445513e-06,9.351432842578997e-20,0.0,0.0,full
0.06100000000000005,134.73427385075763,4939.80498977553,10352.788887331319,1.4381613700840033e-06,2.010696669857273e-19,0.0,0.0,full
0.06200000000000005,136.319230551659,5038.7098004219615,10347.821617050637,1.4022073358345855e-06,4.356306914601555e-19,0.0,0.0,full
0.06300000000000004,137.90042081365343,5138.5829591720685,10342.856894088047,1.3671521524400043e-06,9.508777948162833e-19,0.0,0.0,full
0.06400000000000004,139.47785842321548,5239.404154897828,10337.894717137233,1.3329733486296139e-06,2.0907217283640496e-18,0.0,0.0,full
0.06500000000000004,141.0515571180165,5341.153081070123,10332.935084892548,1.299649014914161e-06,4.629820700270472e-18,0.0,0.0,full
0.06600000000000004,142.62153058701384,5443.809440265148,10327.977996049012,1.2671577895414419e-06,1.0324280810091901e-17,0.0,0.0,full
0.06700000000000005,144.18779247054087,5547.352948670963,10323.02344930232,1.2354788448029686e-06,2.318006201445435e-17,0.0,0.0,full
0.06800000000000005,145.75035636039829,5651.763340588146,10318.071443348832,1.2045918736829234e-06,5.2391418366605603e-17,0.0,0.0,full
0.06900000000000005,147.30923579994652,5757.020372918843,10313.121976885575,1.1744770768408636e-06,1.1918684064183552e-16,0.0,0.0,full
0.07000000000000005,148.86444428419887,5863.103829638924,10308.17504861025,1.145115149919848e-06,2.7286702270232446e-16,0.0,0.0,full
0.07100000000000005,150.4159952599162,5969.993526248266,10303.230657221218,1.1164872711718546e-06,6.285800496360482e-16,0.0,0.0,full
0.07200000000000005,151.96390212570202,6077.669314194484,10298.288801417515,1.0885750893925595e-06,1.4567644761638753e-15,0.0,0.0,full
0.07300000000000005,153.50817823209903,6186.111085265744,10293.34947989884,1.061360712157746e-06,3.3960175955181175e-15,0.0,0.0,full
